SIC,SIC Title (and note),2002 NAICS,2002 NAICS Title
2599,"Furniture and Fixtures, NEC (hospital beds)",339111,Laboratory Apparatus and Furniture Manufacturing
2611,Pulp Mills (pulp producing mills only),322110,Pulp Mills
2611,Pulp Mills (pulp mills producing paper except newsprint),322121,Paper (except Newsprint) Mills
2611,Pulp Mills (pulp mills producing newsprint),322122,Newsprint Mills
2611,Pulp Mills (pulp mills producing paperboard),322130,Paperboard Mills
2621,Paper Mills (except newsprint mills),322121,Paper (except Newsprint) Mills
2621,Paper Mills (newsprint mills),322122,Newsprint Mills
2631,Paperboard Mills,322130,Paperboard Mills
2652,Setup Paperboard Boxes,322213,Setup Paperboard Box Manufacturing
2653,Corrugated and Solid Fiber Boxes,322211,Corrugated and Solid Fiber Box Manufacturing
2655,"Fiber Cans, Tubes, Drums, and Similar Products",322214,"Fiber Can, Tube, Drum, and Similar Products Manufacturing"
2656,"Sanitary Food Containers, Except Folding",322215,Nonfolding Sanitary Food Container Manufacturing
2657,"Folding Paperboard Boxes, Including Sanitary (except paperboard backs for blister or skin packages)",322212,Folding Paperboard Box Manufacturing
2671,"Packaging Paper and Plastics Film, Coated and Laminated (except single-web and multi-web plastics packaging film and sheet)",322221,Coated and Laminated Packaging Paper and Plastics Film Manufacturing
2671,"Packaging Paper and Plastics Film, Coated and Laminated (single-web and multi-web plastics packaging film and sheet)",326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing
2672,"Coated and Laminated Paper, NEC",322222,Coated and Laminated Paper Manufacturing
2673,"Plastics, Foil, and Coated Paper Bags (except single web or multi-web plastic bags)",322223,"Plastics, Foil, and Coated Paper Bag Manufacturing"
2673,"Plastics, Foil, and Coated Paper Bags (single-web and multi-web plastics bags)",326111,Plastics Bag Manufacturing
2674,Uncoated Paper and Multiwall Bags,322224,Uncoated Paper and Multiwall Bag Manufacturing
2675,"Die-Cut Paper and Paperboard and Cardboard (pasted, lined, laminated, or surface-coated paperboard)",322226,Surface-Coated Paperboard Manufacturing
2675,"Die-Cut Paper and Paperboard and Cardboard (die-cut paper and paperboard office supplies, such as file folders, tabulating cards, and report covers)",322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing
2675,"Die-Cut Paper and Paperboard and Cardboard (except pasted, lined, laminated, or surface coated paperboard and die-cut paper and paperboard office supplies)",322299,All Other Converted Paper Product Manufacturing
2676,Sanitary Paper Products,322291,Sanitary Paper Product Manufacturing
2677,Envelopes,322232,Envelope Manufacturing
2678,"Stationery, Tablets, and Related Products",322233,"Stationery, Tablet, and Related Product Manufacturing"
2679,"Converted Paper and Paperboard Products, NEC (corrugated paper)",322211,Corrugated and Solid Fiber Box Manufacturing
2679,"Converted Paper and Paperboard Products, NEC (wallpaper and gift wrap paper)",322222,Coated and Laminated Paper Manufacturing
2679,"Converted Paper and Paperboard Products, NEC (paper supplies for business machines, such as adding machine tape, and other paper office supplies)",322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing
2679,"Converted Paper and Paperboard Products, NEC ( except corrugated paper, wall paper, gift wrap paper, paper supplies for business machines, and other paper office supplies)",322299,All Other Converted Paper Product Manufacturing
2711,"Newspapers: Publishing, or Publishing and Printing (except Internet newspaper publishing)",511110,Newspaper Publishers
2711,"Newspapers: Publishing, or Publishing and Printing (Internet newspaper publishing)",516110,Internet Publishing and Broadcasting
2721,"Periodicals: Publishing, or Publishing and Printing (except Internet periodical publishing)",511120,Periodical Publishers
2721,"Periodicals: Publishing, or Publishing and Printing (Internet periodical publishing)",516110,Internet Publishing and Broadcasting
2731,"Books: Publishing, or Publishing and Printing (except music books and Internet book publishing)",511130, Book Publishers
2731,"Books: Publishing, or Publishing and Printing (music books)",512230,Music Publishers
2731,"Books: Publishing, or Publishing and Printing (Internet book publishing)",516110,Internet Publishing and Broadcasting
2732,Book Printing,323117,Book Printing
2741,Miscellaneous Publishing (shopping news and advertising periodical publishing or publishing and printing except Internet),511120,Periodical Publishers
2741,"Miscellaneous Publishing (technical manuals and books publishing or publishing and printing, except Internet)",511130, Book Publishers
2741,"Miscellaneous Publishing (directory publishers, except Internet publishers)",511140,Directory and Mailing List Publishers
2741,"Miscellaneous Publishing (except database, advertising periodicals, shopping news, technical manuals and books, and sheet music publishing or publishing and printing and Internet versions of these activities)",511199,All Other Publishers
2741,Miscellaneous Publishing (sheet music publishing or publishing and printing),512230,Music Publishers
2741,Miscellaneous Publishing (miscellaneous Internet publishing),516110,Internet Publishing and Broadcasting
2752,"Commercial Printing, Lithographic (except quick printing)",323110,Commercial Lithographic Printing
2752,"Commercial Printing, Lithographic (quick printing)",323114,Quick Printing
2754,"Commercial Printing, Gravure",323111,Commercial Gravure Printing
2759,"Commercial Printing, NEC (flexographic printing)",323112,Commercial Flexographic Printing
2759,"Commercial Printing, NEC (screen printing)",323113,Commercial Screen Printing
2759,"Commercial Printing, NEC (quick printing)",323114,Quick Printing
2759,"Commercial Printing, NEC (digital printing, except quick printing)",323115,Digital Printing
2759,"Commercial Printing, NEC (other commercial printing except flexographic, screen, digital, and quick printing)",323119,Other Commercial Printing 
2761,Manifold Business Forms,323116,Manifold Business Form Printing
2771,Greeting Cards (lithographic printing of greeting cards),323110,Commercial Lithographic Printing
2771,Greeting Cards (gravure printing of greeting cards),323111,Commercial Gravure Printing
2771,Greeting Cards (flexographic printing of greeting cards),323112,Commercial Flexographic Printing
2771,Greeting Cards (screen printing of greeting cards),323113,Commercial Screen Printing
2771,Greeting Cards (other printing of greeting cards),323119,Other Commercial Printing 
2771,Greeting Cards (publishing greeting cards except Internet greeting card publishers),511191,Greeting Card Publishers
2771,Greeting Cards (Internet greeting card publishers),516110,Internet Publishing and Broadcasting
2782,"Blankbooks, Looseleaf Binders and Devices (checkbooks)",323116,Manifold Business Form Printing
2782,"Blankbooks, Looseleaf Binders and Devices (except checkbooks)",323118,"Blankbook, Loose-leaf Binder, and Device Manufacturing"
2789,Bookbinding and Related Work,323121,Tradebinding and Related Work
2791,Typesetting,323122,Prepress Services
2796,Platemaking and Related Services,323122,Prepress Services
2812,Alkalies and Chlorine,325181,Alkalies and Chlorine Manufacturing
2813,Industrial Gases,325120,Industrial Gas Manufacturing
2816,Inorganic Pigments (except bone and lamp black),325131,Inorganic Dye and Pigment Manufacturing
2816,Inorganic Pigments (bone and lamp black),325182,Carbon Black Manufacturing
2819,"Industrial Inorganic Chemicals, NEC (recovering sulfur from natural gas)",211112,Natural Gas Liquid Extraction
2819,"Industrial Inorganic Chemicals, NEC (inorganic dyes)",325131,Inorganic Dye and Pigment Manufacturing
2819,"Industrial Inorganic Chemicals, NEC (except activated carbon and charcoal, alumina, recovering sulfur from natural gas, and inorganic dyes)",325188,All Other Basic Inorganic Chemical Manufacturing
2819,"Industrial Inorganic Chemicals, NEC (activated carbon and charcoal)",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
2819,"Industrial Inorganic Chemicals, NEC (alumina)",331311,Alumina Refining
2821,"Plastics Materials, Synthetic and Resins, and Nonvulcanizable Elastomers",325211,Plastics Material and Resin Manufacturing
2822,Synthetic Rubber,325212,Synthetic Rubber Manufacturing
2823,Cellulosic Manmade Fibers,325221,Cellulosic Organic Fiber Manufacturing
2824,"Manmade Organic Fibers, Except Cellulosic",325222,Noncellulosic Organic Fiber Manufacturing
2833,Medicinal Chemicals and Botanical Products,325411,Medicinal and Botanical Manufacturing
2834,Pharmaceutical Preparations ,325412,Pharmaceutical Preparation  Manufacturing
2835,In Vitro and In Vivo Diagnostic Substances (except in-vitro diagnostic substances),325412,Pharmaceutical Preparation  Manufacturing
2835,In Vitro and In Vivo Diagnostic Substances (in-vitro diagnostic substances),325413,In-Vitro Diagnostic Substance Manufacturing
2836,"Biological Products, Except Diagnostic Substances",325414,Biological Product (except Diagnostic) Manufacturing
2841,"Soaps and Other Detergents, Except Specialty Cleaners",325611,Soap and Other Detergent  Manufacturing
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations",325612,Polish and Other Sanitation Good Manufacturing
2843,"Surface Active Agents, Finishing Agents, Sulfonated Oils, and Assistants",325613,Surface Active Agent  Manufacturing
2844,"Perfumes, Cosmetics, and Other Toilet Preparations (toothpaste, gel, and dentifrice powders)",325611,Soap and Other Detergent  Manufacturing
2844,"Perfumes, Cosmetics, and Other Toilet Preparations (except toothpaste, gel, and dentifrice powders)",325620,Toilet Preparation Manufacturing
2851,"Paints, Varnishes, Lacquers, Enamels and Allied Products",325510,Paint and Coating Manufacturing
2861,Gum and Wood Chemicals,325191,Gum and Wood Chemical Manufacturing
2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (aromatics)",325110,Petrochemical Manufacturing
2865,"Cyclic Organic Crudes and Intermediates, and Organic Dyes and Pigments (organic dyes and pigments)",325132,Synthetic Organic Dye and Pigment  Manufacturing
2865,Cyclic Organic Crudes and Intermediates and Organic Dyes and Pigments (except aromatics and organic dyes and pigments),325192,Cyclic Crude and Intermediate Manufacturing
2869,"Industrial Organic Chemicals, NEC (aliphatics)",325110,Petrochemical Manufacturing
2869,"Industrial Organic Chemicals, NEC (fluorocarbon gases)",325120,Industrial Gas Manufacturing
2869,"Industrial Organic Chemicals, NEC (carbon bisulfide)",325188,All Other Basic Inorganic Chemical Manufacturing
2869,"Industrial Organic Chemicals, NEC (cyclopropane, diethylcyclohexane, naphthalene sulfonic acid)",325192,Cyclic Crude and Intermediate Manufacturing
2869,"Industrial Organic Chemicals, NEC (ethyl alcohol)",325193,Ethyl Alcohol Manufacturing
2869,"Industrial Organic Chemicals, NEC (except aliphatics, carbon bisulfide, ethyl alcohol, cyclopropane, diethylcyclohexane, napthalene sulfonic acid, synthetic hydraulic fluids, and fluorocarbon gases)",325199,All Other Basic Organic Chemical Manufacturing
2869,"Industrial Organic Chemicals, NEC (synthetic hydraulic fluids)",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
2873,Nitrogenous Fertilizers,325311,Nitrogenous Fertilizer Manufacturing
2874,Phosphatic Fertilizers,325312,Phosphatic Fertilizer Manufacturing
2875,"Fertilizers, Mixing Only",325314,Fertilizer (Mixing Only) Manufacturing
2879,"Pesticides and Agricultural Chemicals, NEC",325320,Pesticide and Other Agricultural Chemical Manufacturing
2891,Adhesives and Sealants,325520,Adhesive Manufacturing
2892,Explosives,325920,Explosives Manufacturing
2893,Printing Ink,325910,Printing Ink Manufacturing
2895,Carbon Black,325182,Carbon Black Manufacturing
2899,"Chemicals and Chemical Preparations, NEC (table salt)",311942,Spice and Extract Manufacturing
2899,"Chemicals and Chemical Preparations, NEC (fatty acids)",325199,All Other Basic Organic Chemical Manufacturing
2899,"Chemicals and Chemical Preparations, NEC (frit and plastic wood fillers)",325510,Paint and Coating Manufacturing
2899,"Chemicals and Chemical Preparations, NEC (except frit, fatty acids, plastic wood fillers, and table salt)",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing
2911,Petroleum Refining,324110,Petroleum Refineries
2951,Asphalt Paving Mixtures and Blocks,324121,Asphalt Paving Mixture and Block Manufacturing
2952,Asphalt Felts and Coatings,324122,Asphalt Shingle and Coating Materials Manufacturing
2992,Lubricating Oils and Greases,324191,Petroleum Lubricating Oil and Grease Manufacturing
2999,"Products of Petroleum and Coal, NEC",324199,All Other Petroleum and Coal Products Manufacturing
3011,Tires and Inner Tubes,326211,Tire Manufacturing (except Retreading)
3021,Rubber and Plastics Footwear,316211,Rubber and Plastics Footwear Manufacturing
3052,Rubber and Plastics Hose and Belting,326220,Rubber and Plastics Hoses and Belting Manufacturing
3053,"Gaskets, Packing, and Sealing Devices",339991,"Gasket, Packing, and Sealing Device Manufacturing"
3061,"Molded, Extruded, and Lathe-Cut Mechanical Rubber Goods",326291,Rubber Product Manufacturing for Mechanical Use
3069,"Fabricated Rubber Products, NEC (rubberizing fabric or purchased textile products)",313320,Fabric Coating Mills
3069,"Fabricated Rubber Products, NEC (bags made from rubberized fabric)",314911,Textile Bag Mills
3069,"Fabricated Rubber Products, NEC (rubber cut and sew outerwear)",315299,All Other Cut and Sew Apparel Manufacturing
3069,"Fabricated Rubber Products, NEC (bibs, bathing caps, related rubber accessories)",315999,Other Apparel Accessories and Other Apparel Manufacturing
3069,"Fabricated Rubber Products, NEC (rubber resilient floor coverings)",326192,Resilient Floor Covering Manufacturing
3069,"Fabricated Rubber Products, NEC (except rubberized fabric and garments, gloves, life vests, wet suits, accessories, such as bibs and bathing caps, rubber toys, bags made from rubberized fabric, rubber diaper covers, and rubber resilient floor coverings)",326299,All Other Rubber Product Manufacturing
3069,"Fabricated Rubber Products, NEC (rubber gloves, inflatable rubber lifejackets)",339113,Surgical and Appliance and Supplies Manufacturing
3069,"Fabricated Rubber Products, NEC (wet suits)",339920,Sporting and Athletic Goods Manufacturing
3069,"Fabricated Rubber Products, NEC (rubber toys, except dolls)",339932,"Game, Toy, and Children's Vehicle Manufacturing"
3081,Unsupported Plastics Film and Sheet,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing
3082,Unsupported Plastics Profile Shapes,326121,Unlaminated Plastics Profile Shape Manufacturing
3083,"Laminated Plastics Plate, Sheet, and Profile Shapes",326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing"
3084,Plastics Pipe,326122,Plastics Pipe and Pipe Fitting Manufacturing
3085,Plastics Bottles,326160,Plastics Bottle Manufacturing
3086,Plastics Foam Products (polystyrene foam products),326140,Polystyrene Foam Product Manufacturing
3086,Plastics Foam Products (except polystyrene foam products),326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing
3087,Custom Compounding of Purchased Plastics Resins,325991,Custom Compounding of Purchased Resins 
3088,Plastics Plumbing Fixtures,326191,Plastics Plumbing Fixture Manufacturing
3089,"Plastics Products, NEC (plastics sausage casings)",326121,Unlaminated Plastics Profile Shape Manufacturing
3089,"Plastics Products, NEC (pipe fittings)",326122,Plastics Pipe and Pipe Fitting Manufacturing
3089,"Plastics Products, NEC (except plastics pipe fittings, inflatable plastics life jackets, plastics furniture parts, and plastics sausage casings)",326199,All Other Plastics Product Manufacturing
3089,"Plastics Products, NEC (finished plastic furniture parts)",337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
3089,"Plastics Products, NEC (inflatable plastic life jackets)",339113,Surgical Appliance and Supplies Manufacturing
3111,Leather Tanning and Finishing,316110,Leather and Hide Tanning and Finishing
3131,Boot and Shoe Cut Stock and Findings (except wood heels and metal buckles),316999,All Other Leather Good Manufacturing
3131,Boot and Shoe Cut Stock and Findings (wood heels),321999,All Other Miscellaneous Wood Product Manufacturing
3131,Boot and Shoe Cut Stock and Findings (metal buckles),339993,"Fastener, Button, Needle, and Pin Manufacturing"
3142,House Slippers,316212,House Slipper Manufacturing
3143,"Men’s Footwear, Except Athletic",316213,Men’s Footwear (except Athletic) Manufacturing
3144,"Women’s Footwear, Except Athletic",316214,Women’s Footwear (except Athletic) Manufacturing 
3149,"Footwear,  Except Rubber, NEC",316219,Other Footwear Manufacturing
3151,Leather Gloves and Mittens (men's and boys' contractors),315211,Men's and Boys' Cut and Sew Apparel Contractors
3151,"Leather Gloves and Mittens (women's, girls', and infants' contractors)",315212,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Contractors"
3151,Leather Gloves and Mittens (except contractors),315992,Glove and Mitten Manufacturing
3161,Luggage,316991,Luggage Manufacturing
3171,Women’s Handbags and Purses,316992,Women's Handbag and Purse Manufacturing
3172,"Personal Leather Goods, Except Women’s Handbags and Purses (except nonprecious metal personal goods, such as card cases, cigar cases, and comb cases)",316993,Personal Leather Good (except Women’s Handbag and Purse) Manufacturing
3172,"Personal Leather Goods, Except Women's Handbags and Purses (nonprecious metal personal goods, such as card cases, cigar cases, and comb cases)",339914,Costume Jewelry and Novelty Manufacturing
3199,"Leather Goods, NEC",316999,All Other Leather Good Manufacturing
3211,Flat Glass,327211,Flat Glass Manufacturing
3221,Glass Containers,327213,Glass Container Manufacturing
3229,"Pressed and Blown Glass and Glassware, NEC",327212,Other Pressed and Blown Glass and Glassware Manufacturing
3231,Glass Products Made of Purchased Glass,327215,Glass Product Manufacturing Made of Purchased Glass
3241,"Cement, Hydraulic",327310,Cement Manufacturing
3251,Brick and Structural Clay Tile (except slumped brick),327121,Brick and Structural Clay Tile Manufacturing
3251,Brick and Structural Clay Tile (slumped brick),327331,Concrete Block and Brick Manufacturing
3253,Ceramic Wall and Floor Tile,327122,Ceramic Wall and Floor Tile Manufacturing
3255,Clay Refractories,327124,Clay Refractory Manufacturing
3259,"Structural Clay Products, NEC",327123,Other Structural Clay Product Manufacturing
3261,Vitreous China Plumbing Fixtures and China and Earthenware Fittings and Bathroom Accessories,327111,Vitreous China Plumbing Fixture and China and Earthenware Bathroom Accessories Manufacturing
3262,Vitreous China Table and Kitchen Articles,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing"
3263,Fine Earthenware (Whiteware) Table and Kitchen Articles,327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing"
3264,Porcelain Electrical Supplies,327113,Porcelain Electrical Supply Manufacturing
3269,"Pottery Products, NEC",327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing"
3271,Concrete Block and Brick,327331,Concrete Block and Brick Manufacturing
3272,"Concrete Products, Except Block and Brick (concrete pipe)",327332,Concrete Pipe Manufacturing
3272,"Concrete Products, Except Block and Brick (concrete products, except dry mix concrete and pipe)",327390,Other Concrete Product Manufacturing
3272,"Concrete Products, Except Block and Brick (dry mixture concrete)",327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
3273,Ready-Mixed Concrete,327320,Ready-Mix Concrete Manufacturing
3274,Lime,327410,Lime Manufacturing
3275,Gypsum Products,327420,Gypsum Product Manufacturing
3281,Cut Stone and Stone Products,327991,Cut Stone and Stone Product Manufacturing
3291,Abrasive Products (except steel wool with or without soap),327910,Abrasive Product Manufacturing
3291,Abrasive Products (steel wool with or without soap),332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3292,Asbestos Products (except brake pads and linings),327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
3292,Asbestos Products (asbestos brake linings and pads),336340,Motor Vehicle Brake System Manufacturing
3292,"Asbestos Products (asbestos clutch facings, motor vehicle)",336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of kaolin and ball clay)",212324,Kaolin and Ball Clay Mining
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of clay, ceramic, and refractory minerals nec)",212325,Clay and Ceramic and Refractory Minerals Mining
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of chemical and fertilizer minerals, nec)",212393,Other Chemical and Fertilizer Mineral Mining
3295,"Minerals and Earths, Ground or Otherwise Treated (grinding, washing, separating, etc. of nonmetallic minerals, nec)",212399,All Other Nonmetallic Mineral Mining
3295,"Minerals and Earths, Ground or Otherwise Treated (except grinding, washing, separating, etc. of nonmetallic minerals)",327992,Ground or Treated Mineral and Earth Manufacturing
3296,Mineral Wool,327993,Mineral Wool Manufacturing
3297,Nonclay Refractories,327125,Nonclay Refractory Manufacturing
3299,"Nonmetallic Mineral Products, NEC (clay statuary)",327112,"Vitreous China, Fine Earthenware, and Other Pottery Product Manufacturing"
3299,"Nonmetallic Mineral Products, NEC (moldings, ornamental and architectural plaster work, and gypsum statuary )",327420,Gypsum Product Manufacturing
3299,"Nonmetallic Mineral Products, NEC (except moldings, ornamental and architectural plaster work, clay statuary, and gypsum statuary)",327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (coke ovens)",324199,All Other Petroleum and Coal Products Manufacturing
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (except coke ovens not integrated with steel mills and hot-rolling purchased steel)",331111,Iron and Steel Mills
3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills (hot-rolling purchased steel)",331221,Rolled Steel Shape Manufacturing
3313,"Electrometallurgical Products, Except Steel",331112,Electrometallurgical Ferroalloy Product Manufacturing
3315,Steel Wiredrawing and Steel Nails and Spikes (steel wire drawing),331222,Steel Wire Drawing
3315,"Steel Wiredrawing and Steel Nails and Spikes (nails, spikes, paper clips, and wire not made in wiredrawing plants)",332618,Other Fabricated Wire Product Manufacturing
3316,"Cold-Rolled Steel Sheet, Strip, and Bars",331221,Rolled Steel Shape Manufacturing
3317,Steel Pipe and Tubes,331210,Iron and Steel Pipe and Tube Manufacturing from  Purchased Steel
3321,Gray and Ductile Iron Foundries,331511,Iron Foundries
3322,Malleable Iron Foundries,331511,Iron Foundries
3324,Steel Investment Foundries,331512,Steel Investment Foundries
3325,"Steel Foundries, NEC",331513,Steel Foundries (except Investment)
3331,Primary Smelting and Refining of Copper,331411,Primary Smelting and Refining of Copper
3334,Primary Production of Aluminum,331312,Primary Aluminum Production
3339,"Primary Smelting and Refining of Nonferrous Metals, Except Copper and Aluminum",331419,Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)
3341,Secondary Smelting and Refining of Nonferrous Metals (aluminum),331314,Secondary Smelting and Alloying of Aluminum
3341,Secondary Smelting and Refining of Nonferrous Metals (copper),331423,"Secondary Smelting, Refining, and Alloying of Copper"
3341,Secondary Smelting and Refining of Nonferrous Metals (except copper and aluminum),331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
3351,"Rolling, Drawing, and Extruding of Copper",331421,"Copper Rolling, Drawing, and Extruding"
3353,"Aluminum Sheet, Plate, and Foil",331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
3354,Aluminum Extruded Products,331316,Aluminum Extruded Product Manufacturing
3355,"Aluminum Rolling and Drawing, NEC",331319,Other Aluminum Rolling and Drawing
3356,"Rolling, Drawing, and Extruding of Nonferrous Metals, Except Copper and Aluminum",331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
3357,Drawing and Insulating of Nonferrous Wire (aluminum wire drawing),331319,Other Aluminum Rolling and Drawing
3357,Drawing and Insulating of Nonferrous Wire (copper wire drawing),331422,Copper Wire (except Mechanical) Drawing
3357,Drawing and Insulating of Nonferrous Wire (wire drawing except copper or aluminum),331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
3357,Drawing and Insulating of Nonferrous Wire (fiber optic cable-insulating only),335921,Fiber Optic Cable Manufacturing
3357,"Drawing and Insulating of Nonferrous Wire (communication and energy wire, except fiber optic-insulating only)",335929,Other Communication and Energy Wire Manufacturing
3363,Aluminum Die-Castings,331521,Aluminum Die-Casting Foundries
3364,"Nonferrous Die-Castings, Except Aluminum",331522,Nonferrous (except Aluminum) Die-Casting Foundries
3365,Aluminum Foundries,331524,Aluminum Foundries (except Die-Casting)
3366,Copper Foundries,331525,Copper Foundries (except Die-Casting)
3369,"Nonferrous Foundries, Except Aluminum and Copper",331528,Other Nonferrous Foundries (except Die-Casting)
3398,Metal Heat Treating,332811,Metal Heat Treating
3399,"Primary Metal Products, NEC (iron ore recovery from open hearth slag)",331111,Iron and Steel Mills
3399,"Primary Metal Products, NEC (ferrous powder, paste, flakes, etc.)",331221,Rolled Steel Shape Manufacturing
3399,"Primary Metal Products, NEC (aluminum powder, paste, flakes, etc.)",331314,Secondary Smelting and Alloying of Aluminum
3399,"Primary Metal Products, NEC (copper powder, paste, flakes, etc.)",331423,"Secondary Smelting, Refining, and Alloying of Copper"
3399,"Primary Metal Products, NEC (nonferrous powder, paste, flakes, etc. except copper and aluminum)",331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
3399,"Primary Metal Products, NEC (nonferrous nails, brads, staples, tacks, etc. made from purchased nonferrous wire)",332618,Other Fabricated Wire Product Manufacturing
3399,"Primary Metal Products, NEC (laminating steel for the trade)",332813,"Electroplating, Plating, Polishing, Anodizing and Coloring"
3411,Metal Cans,332431,Metal Can Manufacturing
3412,"Metal Shipping Barrels, Drums, Kegs, and Pails",332439,Other Metal Container Manufacturing
3421,"Cutlery (except hedge shears and trimmers, tinners' snips, and similar nonelectric hand tools)",332211,Cutlery and Flatware (except Precious) Manufacturing
3421,"Cutlery (hedge shears and trimmers, tinners snips, and similar nonelectric hand tools)",332212,Hand and Edge Tool Manufacturing
3423,"Hand and Edge Tools, Except Machine Tools and Handsaws",332212,Hand and Edge Tool Manufacturing
3425,Saw Blades and Handsaws,332213,Saw Blade and Handsaw Manufacturing
3429,"Hardware, NEC (vacuum and insulated bottles, jugs, and chests)",332439,Other Metal Container Manufacturing
3429,"Hardware, NEC (except fire hose nozzles, hose couplings, vacuum and insulated bottles, jugs and chests, fireplace fixtures, time locks, turnbuckles, pulleys, tackle blocks, luggage and utility racks, sleep sofa mechanisms and chair glides, traps, handcuffs and leg irons, ladder jacks, and other like metal products)",332510,Hardware Manufacturing
3429,"Hardware, NEC (turnbuckles and hose clamps)",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
3429,"Hardware, NEC (fire hose nozzles and hose couplings)",332919,Other Metal Valve and Pipe Fitting Manufacturing
3429,"Hardware, NEC (fireplace fixtures, traps, handcuffs and leg irons, ladder jacks, and other like metal products)",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3429,"Hardware, NEC (pulleys, tackle blocks, block and tackle assemblies)",333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
3429,"Hardware, NEC (time locks)",334518,"Watch, Clock, and Part Manufacturing"
3429,"Hardware, NEC (luggage and utility racks)",336399,All Other Motor Vehicle Parts Manufacturing
3429,"Hardware, NEC (sleep sofa mechanisms and chair glides)",337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
3431,Enameled Iron and Metal Sanitary Ware,332998,Enameled Iron and Metal Sanitary Ware Manufacturing
3432,"Plumbing Fixture Fittings and Trim (except shower rods, lawn hose nozzles, and lawn sprinklers)",332913,Plumbing Fixture Fitting and Trim  Manufacturing
3432,Plumbing Fixture Fittings and Trim (lawn hose nozzles and lawn sprinklers),332919,Other Metal Valve and Pipe Fitting Manufacturing
3432,Plumbing Fixture Fittings and Trim (metal shower rods),332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
3433,"Heating Equipment, Except Electric and Warm Air Furnaces",333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
3441,Fabricated Structural Metal,332312,Fabricated Structural Metal Manufacturing
3442,"Metal Doors, Sash, Frames, Molding, and Trim",332321,Metal Window and Door Manufacturing  
3443,Fabricated Plate Work (Boiler Shops) (fabricated plate work and metal weldments),332313,Plate Work Manufacturing
3443,Fabricated Plate Work (Boiler Shops) (power boilers and heat exchangers),332410,Power Boiler and Heat Exchanger Manufacturing
3443,Fabricated Plate Work (Boiler Shops) (heavy gauge tanks),332420,Metal Tank (Heavy Gauge) Manufacturing 
3443,Fabricated Plate Work (Boiler Shops) (metal cooling towers),333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3444,Sheet Metal Work (stamped metal skylights),332321,Metal Window and Door Manufacturing  
3444,"Sheet Metal Work (except sheet metal bins and vats, skylights, and sheet metal cooling towers)",332322,Sheet Metal Work Manufacturing
3444,Sheet Metal Work (metal bins and vats),332439,Other Metal Container Manufacturing
3444,"Sheet Metal Work (cooling towers, sheet metal)",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
3446,Architectural and Ornamental Metal Work,332323,Ornamental and Architectural Metal Work Manufacturing
3448,Prefabricated Metal Buildings and Components,332311,Prefabricated Metal Building and Component  Manufacturing
3449,Miscellaneous Structural Metal Work (custom roll forming),332114,Custom Roll Forming
